Informations générales - Code INSEE de la commune,nom_commune,dsr_garantie_commune_nouvelle_fraction_cible,dsr_garantie_commune_nouvelle_fraction_perequation,dsr_garantie_commune_nouvelle_fraction_bourg_centre
28236,ARCISSES,30290,49976,0
28254,MITTAINVILLIERS-VERIGNY,0,26473,0
28330,VILLEMAURY,0,45648,0
28331,SAINTIGNY,21463,31232,0
28334,SAINT-DENIS-LANNERAY,0,34298,0
28383,THEUVILLE,0,16072,0
28406,ÉOLE-EN-BEAUCE,0,76626,0
28422,LES VILLAGES VOVEENS,102058,83790,292910
29003,AUDIERNE,98939,78343,256924
29021,PLOUNÉOUR-BRIGNOGAN-PLAGES,0,53201,0
29076,MILIZAC-GUIPRONVEL,149256,121759,0
29199,PLOUIGNEAU,137800,109780,223448
29227,POULLAOUEN,0,62040,0
29266,SAINT-THÉGONNEC LOC-EGUINER,0,87418,167155
30052,BRÉAU-MARS,29027,26641,0
30339,VAL-D'AIGOUAL,66183,50480,213015
31277,LASSERRE-PRADÈRE,24003,24958,0
31412,PÉGUILHAN,0,3444,0
31471,SAINT-BEAT-LEZ,2733,9928,24962
32079,CASTELNAU D'AUZAN LABARRERE,8353,45791,83864
32344,RISCLE,0,39343,125869
33008,PORTE-DE-BENAUGE,0,15683,0
33018,VAL DE VIRVEE,90180,72105,0
33055,BLAIGNAN-PRIGNAC,0,15280,0
33106,CASTETS-ET-CASTILLON,0,31124,0
33268,MARGAUX-CANTENAC,0,55541,0
33380,VAL-DE-LIVENNE,0,43800,0
34246,ENTRE-VIGNES,0,35595,0
35004,VAL-COUESNON,62065,95388,141530
35060,LA CHAPELLE DU LOU DU LAC,28949,23321,0
35069,CHATEAUGIRON,0,168821,406654
35163,LUITRÉ-DOMPIERRE,0,49100,0
35168,VAL D'ANAST,120138,97160,217434
35176,GUIPRY-MESSAC,242378,202422,363241
35184,MONTAUBAN-DE-BRETAGNE,13295,89432,189859
35191,LES PORTES DU COGLAIS,72400,56432,171696
35220,PIRÉ-CHANCÉ,0,62934,0
35257,MAEN ROCH,0,101275,192948
35282,RIVES-DU-COUESNON,91191,77692,0
35292,SAINT-MARC-LE-BLANC,45052,40485,0
35308,MESNIL-ROC'H,95689,82331,162533
36093,LEVROUX,0,68691,199630
36202,SAINT-MAUR ,0,57251,0
36229,VAL-FOUZON,0,38197,53574
36244,VILLENTROIS-FAVEROLLES-EN-BERRY,28897,41479,0
37021,BEAUMONT-LOUESTAULT,59513,43675,0
37123,LANGEAIS,0,86463,241049
37232,COTEAUX-SUR-LOIRE,75382,58249,0
37254,TAUXIGNY-SAINT-BAULD,0,38564,0
38001,LES ABRETS EN DAUPHINÉ,169176,131004,327183
38022,LES AVENIERES VEYRINS-THUELLIN,170674,135970,273079
38073,CHANTEPÉRIER,0,10817,0
38152,ECLOSE-BADINIERES,0,28592,0
38163,LE HAUT-BRÉDA,0,13435,0
38225,AUTRANS-MEAUDRE EN VERCORS,0,125963,87590
38253,LES DEUX-ALPES,0,73872,94523
38284,ORNACIEUX-BALBINS,0,21650,0
38292,VILLAGES DU LAC DE PALADRU,0,65400,117228
38297,ARANDON-PASSINS,0,43549,0
38359,SAINT-ANTOINE-L'ABBAYE,0,57963,0
38395,PLATEAU-DES-PETITES-ROCHES,0,44637,0
38407,LA SURE EN CHARTREUSE,0,31164,0
38439,CRETS EN BELLEDONNE,0,65910,51845
38456,CHATEL-EN-TRIEVES,0,29652,10422
38479,PORTE-DES-BONNEVAUX,26725,46800,0
38560,VAL-DE-VIRIEU,0,35389,44948
39016,ARINTHOD,0,20085,49096
39017,ARLAY,0,27977,51756
39018,AROMAS,27420,23252,0
39021,LA CHAILLEUSE,17654,19734,0
39043,BEAUFORT-ORBAGNA,0,27085,48045
39130,NANCHEZ,0,34584,0
39137,SAINT-HYMETIERE-SUR-VALOUSE,0,12908,0
39177,HAUTEROCHE,0,22379,0
39190,DAMPIERRE,26709,22399,58211
39199,DOMBLANS,0,20898,33801
39209,VAL D'EPY,4030,14762,0
39258,GRANDE-RIVIERE CHATEAU,10635,24488,0
39273,MONTLAINSIA,0,12230,0
39286,LAVANS-LES-SAINT-CLAUDE,0,52263,0
39290,VALZIN EN PETITE MONTAGNE,22969,19546,0
39329,MIEGES,0,8966,0
39331,MIGNOVILLARD,0,26183,26480
39339,CHASSAL-MOLINGES,0,12814,0
39368,HAUTS DE BIENNE,128770,113458,322623
39378,LES TROIS CHATEAUX,0,18393,0
39485,VAL SURAN,4412,27163,45388
39491,COTEAUX DU LIZON,0,54034,128649
39510,SEPTMONCEL LES MOLUNES,0,32890,0
39530,THOIRETTE-COISIA,0,20620,70665
39537,TRENAL,0,8676,0
39576,VAL-SONNETTE,0,22683,44528
39577,VINCENT-FROIDEVILLE,1484,9527,0
39583,VOSBLES-VALFIN,4486,9326,0
40197,MORCENX-LA-NOUVELLE,6697,86627,203319
40243,RION-DES-LANDES,0,51679,45311
41055,VALLOIRE-SUR-CISSE,0,51228,127136
41059,LE CONTROIS-EN-SOLOGNE,25568,127137,94848
41070,VALLEE-DE-RONSARD,0,16587,0
41142,VALENCISSE,0,57802,141790
41151,MONTRICHARD VAL DE CHER,0,66896,201833
41167,VEUZAIN-SUR-LOIRE,87136,75841,220966
41171,OUCQUES LA NOUVELLE,55501,44588,141305
41173,BEAUCE LA ROMAINE,118696,95136,232226
41248,COUËTRON-AU-PERCHE,0,36636,0
42039,CHALMAZEL - JEANSAGNIERE,0,34250,30284
